#Reps,MilaLexiconPointer,Undotted,POS
2572,541,נוסף,participle:adjective
2561,15834,משפט,noun
2561,17267,דרך,noun
2558,15891,עיר,noun
2547,15747,שניים,numeral
2521,10553,אך,conjunction
2509,13784,ישראלי,adjective
2500,10856,עוד,adverb
2500,4530,חדש,adjective
2500,8279,התנתקות,noun
2490,24681,מה,interrogative
2472,2204,טרור,noun
2423,19750,החלטה,noun
2398,2757,חברה,noun
2370,10217,אחרון,adjective
2369,14943,נשא,participle:noun
2353,2146,יותר,adverb
2333,7892,עבודה,noun
2307,12836,יהודי,adjective
2300,17459,יהודי,noun
2296,15983,חודש,noun
2290,8407,ילד,noun
2285,241,"ח""כ",noun
2263,7447,"יו""ר",noun
2262,9344,חבר,noun
2234,3289,ריכז,participle:noun
2219,8755,פיגוע,noun
2215,1957,אזור,noun
2207,16323,נשיא,noun
2177,4455,גדול,adjective
2142,21821,כן,conjunction
2141,8241,קיבל,verb
2082,10499,פה,noun
2073,3998,חיבל,participle:noun
2058,21752,דבר,noun
2042,20921,חלק,noun
2041,4143,עבד,participle:noun
2015,19023,עולם,noun
2013,3266,מי,interrogative
2011,24831,לאחר,preposition
1985,24352,רשות,noun
1979,4625,אחר,adjective
1965,15954,פעולה,noun
1953,12448,אתמול,adverb
1942,14006,ציבור,noun
1921,5208,דין,noun
1903,8493,עם,noun
1900,18081,דובר,participle:verb
1883,17295,פעילות,noun
1857,539,"ארה""ב",properName
1848,13705,שינה,noun
1847,16302,אלף,numeral
1842,21298,זמן,noun
1841,17426,כתב,noun
1802,5303,שוטר,noun
1800,13128,מצב,noun
1763,21645,בוקר,noun
1760,24925,צריך,modal
1758,9587,אירוע,noun
1757,11357,אדם,noun
1742,19817,בעקבות,preposition
1721,12408,עבר,verb
1694,7829,אשר,conjunction
1693,18864,לעבר,preposition
1686,1364,שטח,noun
1673,376,עשה,verb
1647,19634,ערוץ,noun
1641,3628,שבוע,noun
1637,11721,אופן,noun
1637,3467,הביא,verb
1630,274,לאחר,conjunction
1615,9803,כתב,verb
1614,24739,ערב,noun
1609,8927,קשה,adjective
1608,20367,עזה,properName
1580,23991,ראשון,numeral
1578,14281,ספר,noun
1572,12991,מערכה,noun
1568,2825,שפט,participle:noun
1546,18068,תנועה,noun
1532,3672,כבר,adverb
1530,8125,מיליון,numeral
1510,2945,דיון,noun
1504,17127,קיים,verb
1499,441,שומרון,properName
1493,12172,אלה,pronoun
1486,3933,הודיע,verb
1485,9542,סיפר,participle:noun
1481,905,ישיבה,noun
1475,18467,יצא,verb
1472,2580,איבק,participle:noun
1470,12763,לפי,preposition
1468,20762,לאומי,adjective
1446,10798,עניין,noun
1442,26953,ללא,preposition
1435,10878,אזרח,noun
1431,14695,התקיים,verb
1423,2283,מלחמה,noun
1419,15524,מסגרת,noun
1416,17520,חוץ,noun
1389,24123,אריאל,properName
1384,16095,מטרה,noun
1383,1689,פיקד,participle:noun
1377,1380,ציין,verb
1377,6786,פגישה,noun
1370,19949,החל,verb
1370,3301,חקירה,noun
1370,7814,גרם,participle:noun
1369,12079,חינוך,noun
1368,19337,שנה,participle:adjective
1367,7144,אף,conjunction
1354,1344,הוסיף,verb
1335,20896,"יש""ע",properName
1334,943,החליט,verb
1329,15248,אלא,conjunction
1329,687,עקירה,noun
1328,1838,כביש,noun
1315,771,תגובה,noun
1312,10414,כפר,noun
1308,16571,צבא,noun
1303,6898,נערך,verb
1300,25616,יש,modal
1292,6331,אבל,conjunction
1290,12001,שם,adverb
1288,26584,חבר,noun
1275,26589,עצמו,pronoun
1268,10341,שם,participle:noun
1265,276,ניהל,participle:noun
1263,4923,צבאי,adjective
1255,8344,מנע,verb
1249,16008,ביותר,adverb
1245,11411,תוך,preposition
1238,15791,מנה,noun
1237,11019,הצעה,noun
1235,27865,כמו,conjunction
1224,13781,ביקש,verb
1219,18595,ביצע,verb
1213,11577,זכות,noun
1208,8347,אש,noun
1203,3793,השתתף,verb
1199,19880,דרום,noun
1199,6031,צפן,participle:noun
1197,18454,קרוב,adjective
1194,2109,המשיך,verb
1192,4858,אתר,noun
1191,15393,פנים,noun
1190,7287,תפקיד,noun
1184,6402,משפטי,adjective
1176,2601,אמריקני,adjective
1167,12353,כמו,preposition
1165,19724,עמד,participle:verb
1164,16172,תקשורת,noun
1155,1660,מסר,verb
1155,3034,נמסר,verb
1151,1380,ציין,participle:verb
1141,12382,מאה,numeral
1141,16325,אחת,numeral
1141,18802,אמר,participle:verb
1140,10487,בפני,preposition
1139,6801,פנה,verb
1136,1006,טיפול,noun
1134,12328,אפשר,verb
1132,28010,אותו,quantifier
1130,9493,בא,verb
1126,21132,פעל,verb
1119,13039,כאשר,conjunction
1118,11237,פינוי,noun
1118,13450,טענה,noun
1116,3375,ירי,noun
1104,13440,נתן,verb
1101,14747,אצר,participle:noun
1099,11302,תל,noun
1098,7061,גירוש,noun
1096,19343,מעצר,noun
1087,20209,רכב,noun
1081,10533,יוחד,participle:adjective
1077,17502,חלה,participle:adjective
1070,18529,דווח,participle:verb
1068,10180,שלום,noun
1067,5754,אלו,pronoun
1066,2901,העביר,verb
1063,10049,בחיר,noun
1059,6547,שלושה,numeral
1058,1022,נפגע,participle:noun
1056,11688,הליכוד,properName
1056,760,נמצא,verb
1055,17300,במקום,preposition
1051,14724,אלוף,noun
1049,17280,שבת,noun
1048,461,בנק,noun
1047,15344,מכתב,noun
1046,698,אחרי,preposition
1039,12721,קרא,verb
1039,24357,בלתי,wPrefix
1036,21142,הר,noun
1030,15912,תקציב,noun
1028,19280,אולם,conjunction
1025,14113,מול,preposition
1021,13662,סמך,participle:adjective
1018,7088,מקומי,adjective
1017,1139,כסף,noun
1013,11826,ליד,preposition
1012,13459,כתבה,noun
1012,5151,יידע,participle:noun
1011,12451,הוסר,participle:verb
1007,11256,רצועה,noun
1003,10168,חברות,noun
1001,3322,קבוצה,noun
999,25388,"ע""י",preposition
997,10818,הקמה,noun
996,10817,פתח,verb
994,11652,תוצאה,noun
988,13592,ערבי,adjective
987,8581,ראיון,noun
985,185,צד,participle:noun
984,1632,אוניברסיטה,noun
979,25377,"רש""פ",properName
977,25610,ניתן,modal
974,14034,צרך,participle:noun
974,19773,מאוד,adverb
973,15388,הסכם,noun
970,18593,קצין,noun
967,8094,הפגנה,noun
962,1321,לעומת,preposition
961,13946,אביב,properName
952,21163,כמה,quantifier
952,5225,עשר,numeral
950,20207,בתוך,preposition
949,9496,נציג,noun
942,1379,בת,noun
942,15902,בן,properName
940,106,ראה,verb
939,16451,"מנכ""ל",noun
936,16084,שינוי,noun
936,26958,בשל,preposition
931,5601,ניסיון,noun
922,1338,משה,properName
921,2210,לכן,conjunction
919,18611,קשר,noun
919,21882,בכיר,adjective
918,15610,דולר,noun
912,9423,כניסה,noun
905,8300,דעה,noun
904,5940,הודעה,noun
901,10432,אברהם,properName
901,20891,בקשה,noun
900,19088,באמצעות,preposition
899,9878,לקראת,preposition
893,5267,רמה,noun
889,14376,נכנס,verb
888,3984,ניסה,verb
887,10407,שאלה,noun
887,13635,תחם,participle:noun
887,8550,שקל,noun
883,210,רב,noun
878,20831,בעיה,noun
876,13347,מטוס,noun
874,9281,תקף,participle:noun
871,12316,תעשייה,noun
871,19648,צוות,noun
871,9999,טוב,adjective
868,17839,סוכן,noun
866,11327,יחידה,noun
865,5511,פוליטי,adjective
862,25400,אבו,properName
859,13882,גבול,noun
859,4520,מעשה,noun
856,4007,ביצוע,noun
854,10359,נפצע,verb
854,12850,ערפאת,properName
853,5337,מחאה,noun
853,9710,ביקור,noun
850,18931,קבע,verb
850,19334,ייצוא,noun
849,20438,בעל,noun
849,4148,פגיעה,noun
848,18653,עלה,verb
847,5407,עיתון,noun
847,8757,שימוש,noun
845,3561,שני,numeral
842,6086,עלייה,noun
840,9289,עת,noun
837,19319,כלכלי,adjective
836,21008,שלטון,noun
834,13679,פרופסור,noun
830,1785,חברון,properName
828,21603,כהן,properName
826,6994,לשכה,noun
825,15813,כאן,adverb
825,8044,חומר,noun
822,17115,פגע,verb
821,5504,מים,noun
819,20158,אפשרות,noun
815,660,נעשה,verb
813,5741,אישור,noun
811,14,מחקר,noun
810,14409,דתי,adjective
809,11717,בעלים,noun
808,10308,התיישב,participle:noun
805,16039,רחב,noun
805,17246,נתניהו,properName
802,17591,מרכזי,adjective
802,6380,הטה,participle:noun
801,3140,כעת,adverb
801,693,דובר,noun
800,10775,פרס,properName
800,18595,ביצע,participle:noun
800,19094,עצר,verb
797,7492,פעיל,noun
796,4167,למען,preposition
792,17441,עמדה,noun
789,12401,אל,properName
788,2361,מדיני,adjective
786,4398,אז,adverb
784,18453,מחיר,noun
782,21220,בטחוני,adjective
781,24710,אחר,preposition
781,8798,מתוך,preposition
778,11755,חיים,noun
778,8024,לילה,noun
775,11369,המשך,noun
772,1098,גבוה,adjective
772,18632,ציבורי,adjective
771,16859,הפגין,participle:noun
771,9232,כוונה,noun
769,16090,פעם,noun
769,2927,מפעל,noun
768,8542,צוין,verb
763,18491,תורה,noun
760,4696,תחנה,noun
758,19688,כנס,noun
755,18653,עלה,participle:verb
755,19122,איחוד,noun
755,3919,כלל,participle:verb
754,9418,הגיש,verb
753,16901,אח,noun
753,17427,מדיניות,noun
753,21679,כיום,adverb
752,20767,עירייה,noun
751,3390,קהילה,noun
751,4920,רשות,noun
748,15922,לבין,preposition
744,17500,סייע,verb
743,5500,אמור,adjective
739,1332,תנאי,noun
737,21627,יהודה,properName
736,16284,פילג,participle:noun
735,14095,תלמיד,noun
733,13743,שירה,noun
730,18929,תהליך,noun
730,7472,מאז,adverb
722,8482,הורה,participle:noun
721,21649,רוב,quantifier
721,25913,עבר,noun
719,6183,אמצע,noun
718,3630,יעץ,participle:noun
718,4657,אישר,verb
718,8069,עדיין,adverb
717,15336,הצליח,verb
716,26772,"ד""ר",title
713,12970,בקרב,preposition
713,20228,אב,noun
712,5804,לב,noun
712,9542,סיפר,verb
711,2864,קו,noun
710,17509,תום,noun
710,24616,אי,wPrefix
710,6858,ירה,verb
709,106,ראה,participle:verb
707,18552,ראשון,properName
705,4418,"עו""ד",noun
704,14960,מכון,noun
704,20905,הנהיג,participle:noun
703,8067,הקים,verb
702,10636,"דו""ח",noun
702,10746,ידיעה,noun
702,4177,גוף,noun
701,3162,טען,verb
700,18366,הערכה,noun
699,12509,ידע,verb
699,6783,אמש,adverb
697,7449,השיב,verb
696,12740,ניזק,participle:noun
696,6557,בינלאומי,adjective
695,16667,ברור,adjective
694,9536,טקס,noun
693,3162,טען,participle:verb
693,8005,דרישה,noun
691,7814,גרם,verb
689,18828,נמשך,verb
688,8360,ערך,verb
687,13781,ביקש,participle:verb
686,11982,ברית,noun
686,2543,ראשי,adjective
685,5100,נשק,noun
684,1344,הוסיף,participle:verb
684,9106,אוויר,noun
681,15979,אלימות,noun
680,26159,גן,noun
677,6767,כפי,conjunction
676,9278,בלבד,adverb
675,4341,תקופה,noun
674,9022,מצא,verb
672,16058,שתיים,numeral
669,14012,פרויקט,noun
667,4562,יחד,adverb
664,14412,עתירה,noun
664,9709,בסיס,noun
663,24738,במשך,preposition
662,8486,בדיקה,noun
662,9166,השים,participle:noun
661,5321,בנייה,noun
659,2998,אחריות,noun
656,12721,קרא,participle:verb
656,4631,"רמטכ""ל",noun
655,10536,עוד,quantifier
653,8310,החנה,participle:noun
653,9310,שיחה,noun
652,6909,צעד,noun
651,12310,מבנה,noun
650,24663,למרות,conjunction
650,8482,הורה,verb
649,4707,חשש,noun
649,579,פרסום,noun
649,8745,תשובה,noun
648,14663,אורח,noun
648,21668,סוף,noun
647,13395,שלב,noun
647,19751,נער,participle:noun
646,10868,הגנה,noun
646,12249,מחסום,noun
643,12726,חי,participle:noun
643,2833,חיפה,properName
642,11534,מטען,noun
642,8326,רפואי,adjective
639,7524,הועבר,verb
638,11472,מצרים,properName
638,16258,עבור,preposition
637,16244,תמיכה,noun
637,4766,תייר,noun
636,1260,סיוע,noun
635,16175,סירב,verb
634,1148,התקבל,verb
634,11592,תשלום,noun
632,17067,קל,adjective
632,3894,גידול,noun
631,12187,כלה,participle:noun
631,25291,שחרור,noun
631,4809,נעצר,verb
630,794,פתרון,noun
629,14688,הוראה,noun
625,11328,חג,participle:noun
625,12687,שכונה,noun
624,13089,דיווח,noun
622,16133,הביע,verb
621,4332,בחינה,noun
619,1616,זכה,verb
619,24903,אפשר,modal
619,6163,מתן,noun
619,7053,עסק,noun
617,17930,עימד,verb
617,9472,האם,interrogative
616,12883,חשב,participle:adjective
615,11939,בריאות,noun
614,1826,הורה,noun
613,4704,קיבוץ,noun
612,5029,ניתן,verb
611,101,כלא,noun
611,13487,העלה,verb
611,24742,בנוסף,adverb
610,4386,נפגש,verb
609,1022,נפגע,verb
609,17321,תחילה,noun
608,19003,שיתוף,noun
608,8210,עיבר,participle:noun
605,10344,פיתוח,noun
603,3736,חוף,noun
603,6432,דן,verb
602,18187,מוסד,noun
600,376,עשה,participle:verb
599,15757,צפה,participle:adjective
599,19602,קטון,participle:adjective
598,17930,עימד,participle:noun
598,19839,קיום,noun
597,24929,אמור,modal
597,5058,תביעה,noun
597,7154,הכנסה,noun
597,795,קבר,noun
595,15330,התייחס,verb
595,8360,ערך,participle:noun
594,19367,התנגד,participle:noun
594,8978,אישי,adjective
593,19833,שכר,noun
592,24130,את,preposition
590,8903,סביבה,noun
588,21147,יישום,noun
587,13084,קריאה,noun
586,19511,חוקי,adjective
586,3466,שיעור,noun
585,13303,נשאר,verb
584,1131,ענף,noun
584,18894,תמונה,noun
584,2631,כלפי,preposition
584,2715,רחוב,noun
583,760,נמצא,participle:verb
579,21364,חצי,numeral
574,11830,נהרג,verb
574,19787,ראשות,noun
573,24401,ישראלי,noun
571,18535,הבטיח,verb
571,5425,דיווח,verb
570,20517,בעיקר,adverb
567,12794,משאל,noun
566,2778,כלל,noun
565,19148,מלון,noun
565,24921,עלול,modal
564,9711,פיקוד,noun
563,21048,קבלה,noun
562,13440,נתן,participle:noun
560,11396,פיצוי,noun
560,3674,פרקליט,noun
559,259,חמאס,properName
559,372,צהריים,noun
558,6507,פרטי,adjective
557,4740,הוצאה,noun
557,5852,דוד,properName
555,26164,שמעון,properName
553,15567,חדר,noun
552,7770,מחר,adverb
551,12154,עיתונאי,noun
551,4129,נמל,noun
550,16527,משום,conjunction
550,20593,עתיד,noun
549,17328,אדמה,noun
549,2466,כה,adverb
549,8420,יתר,quantifier
548,2366,קירה,participle:noun
548,24704,לגבי,preposition
547,16243,הציג,verb
547,19643,צורה,noun
546,15994,קיים,adjective
546,16359,הוציא,verb
546,20730,צומת,noun
546,9869,הליך,noun
545,11804,הגיע,participle:verb
545,12264,היווה,participle:verb
544,12076,סגן,noun
544,17595,רצון,noun
544,20168,לקח,verb
543,12831,נער,noun
543,12844,הוקם,verb
543,3070,ימין,noun
541,14228,הבהיר,verb
541,17091,תלונה,noun
541,205,הניע,participle:noun
541,27933,אין,negation
539,17305,בניין,noun
539,398,נועד,verb
539,8697,נאמר,verb
538,18653,עלה,participle:noun
538,315,חמור,adjective
536,18697,ועד,noun
534,8007,איום,noun
532,11858,תשתית,noun
531,3912,שמאל,noun
530,14563,תחת,preposition
530,20577,לימודים,noun
529,15129,אימץ,participle:noun
529,8374,איזן,participle:noun
528,18921,דרש,verb
528,26745,"בג""צ",noun
527,5699,קצר,adjective
526,6530,בנימין,properName
524,11429,אוכלוסייה,noun
524,15412,דעת,noun
524,310,גדר,noun
523,16674,סוג,noun
523,21178,נראה,verb
522,10366,התנגדות,noun
522,12082,יצחק,properName
522,21650,שום,quantifier
520,24667,לשעבר,adjective
520,8384,חיים,properName
519,15919,בוש,properName
519,3693,שירותים,noun
517,1615,יוסף,properName
516,15590,ביקורת,noun
516,16377,רצח,noun
516,1866,פרסם,verb
515,5742,זהו,pronoun
514,4683,שותף,participle:adjective
513,10777,מימון,noun
513,19724,עמד,verb
513,20583,חשד,noun
513,3619,איכות,noun
512,21637,מספר,quantifier
511,12893,ארבעה,numeral
511,13858,סדר,noun
510,15762,דקל,noun
510,20108,סיעה,noun
510,20626,שבע,numeral
509,5447,נווה,properName
507,16448,אפילו,conjunction
506,12173,ניגוד,noun
505,17168,רותי,properName
505,4592,מערכת,noun
504,14525,נפתח,verb
502,9967,מס,noun
501,10860,נקבע,verb
501,6886,צו,noun
500,4946,שואה,noun
499,2218,אחוז,noun
498,17770,שכן,conjunction
498,2329,נסיגה,noun
497,10193,אבן,noun
497,21260,סטודנט,noun
496,13330,שוק,noun
496,26,סיור,noun
494,10375,אוטובוס,noun
494,19351,ארוך,adjective
494,4797,ירידה,noun
494,8761,שאר,quantifier
493,13267,העברה,noun
493,21055,דם,noun
492,15150,"ר""מ",noun
492,5162,יכולת,noun
490,16200,מיליארד,numeral
490,5986,משמעותי,adjective
489,13978,ביקר,participle:noun
489,2459,יידה,participle:noun
489,4949,רגע,noun
488,3107,הצבעה,noun
487,18563,עובדה,noun
487,4929,רשת,noun
485,6365,סוגיה,noun
484,9319,לאחרונה,adverb
484,9566,שער,noun
483,14543,עכשיו,adverb
481,2109,המשיך,participle:verb
481,24065,ניפש,participle:noun
480,8448,בוצע,verb
479,14478,לחץ,noun
479,5510,ערך,noun
478,0,פינקלר,properName
477,18378,סיבה,noun
477,18921,דרש,participle:verb
476,12655,עליון,adjective
476,12986,עד,noun
476,19200,מעל,preposition
476,5943,דחה,verb
474,26957,הנו,copula
471,18291,הדגיש,verb
471,21132,פעל,participle:verb
470,20822,התיישבות,noun
470,24810,הרי,conjunction
469,3549,אגד,participle:noun
467,10703,דיבר,verb
465,2494,נרצח,verb
464,20227,קרן,noun
463,6363,"שב""כ",properName
462,13453,תאונה,noun
462,17108,התחיל,verb
462,5401,מזרח,noun
461,1471,שבועה,noun
461,5740,אגף,noun
460,13567,סכום,noun
460,8850,קובי,properName
459,9493,בא,participle:verb
458,10552,תופעה,noun
458,3149,תפילה,noun
457,14070,פורום,noun
457,15031,אלי,properName
456,11935,מעד,participle:noun
456,17132,הוחלט,verb
456,4182,ארך,participle:noun
455,15311,לאור,preposition
454,10754,שוב,adverb
454,11590,זאבי,properName
454,13178,מקור,noun
454,2860,עין,noun
453,14283,הקרים,participle:noun
453,15831,אירופה,properName
452,4985,היקף,noun
451,10210,הושב,participle:noun
450,10926,אצל,preposition
450,5179,צוהר,noun
449,15865,אסיר,noun
449,3947,שימש,verb
449,600,גיל,noun
448,20421,כללי,adjective
448,6716,חשוד,noun
447,0,"בג""ץ",properName
447,13386,יצר,verb
446,19449,קול,noun
445,3919,כלל,participle:noun
444,11111,נכון,participle:adjective
444,13083,עצרת,noun
444,14062,התאחדות,noun
444,2430,ציוד,noun
444,9211,"או""ם",properName
443,1193,מחוז,noun
443,25866,מייד,adverb
443,9199,באר,noun
442,5998,אזורי,adjective
441,1995,איזור,noun
440,2399,יחס,noun
439,3984,ניסה,participle:verb
438,12179,הנהלה,noun
437,934,חתם,verb
436,20900,הנהגה,noun
436,8231,הערב,adverb
433,14487,מוות,noun
432,17816,היפך,verb
432,19889,פרס,noun
432,3550,הסתדרות,noun
431,18405,פונה,verb
430,13721,מאיר,properName
430,15882,חילק,verb
430,20693,השתתפות,noun
428,6479,תרומה,noun
427,24543,ליכוד,properName
427,26054,כיצד,interrogative
427,3753,תעשיין,noun
426,4241,שמר,verb
425,12910,התכוון,participle:verb
425,14049,סכנה,noun
425,7992,פרץ,verb
424,697,נגב,properName
423,13978,ביקר,verb
423,16251,עסק,verb
422,9089,מרחב,noun
421,3654,מפלגה,noun
421,8826,סיום,noun
419,10426,הבין,verb
419,13043,חשמל,noun
419,14943,נשא,verb
419,19479,מגמה,noun
419,6161,מזון,noun
418,2405,שמירה,noun
417,18684,עולמי,adjective
417,7481,הסדר,noun
416,11160,ברק,properName
416,21178,נראה,participle:verb
416,21654,השנה,adverb
416,3678,פתיחה,noun
416,671,סוריה,properName
415,15788,רוח,noun
414,10834,מסמך,noun
413,15600,חטיבה,noun
413,9281,תקף,verb
412,12526,הללו,pronoun
412,16356,פרשה,noun
412,19094,עצר,participle:noun
412,19228,למעלה,adverb
412,3385,נרשם,verb
411,9534,אכן,adverb
410,12708,שינה,participle:noun
410,18529,דווח,verb
410,3810,בגלל,preposition
410,9318,שילם,verb
409,500,גילה,verb
408,11088,משק,noun
408,1319,שלח,verb
408,15176,אל,noun
408,21272,סקר,noun
408,7266,סרט,noun
407,10498,מקור,noun
407,11468,חל,verb
407,19055,תעופה,noun
407,24662,למרות,preposition
406,13340,מערבי,adjective
406,15098,נגרם,verb
406,7854,מפני,preposition
406,8291,טיל,noun
406,9810,שילח,participle:noun
405,11397,כינוס,noun
405,2615,קרקע,noun
405,3093,"מפד""ל",properName
404,15306,קדם,participle:adjective
404,7092,הצטרף,verb
403,14183,חיל,noun
403,16237,תיק,noun
402,16858,השבוע,adverb
402,26504,רב,adjective
402,9818,חבל,noun
401,1220,עמותה,noun
401,1936,הסכמה,noun
401,20820,הוגש,verb
401,3886,קיווה,participle:verb
400,724,רוצה,verb
399,16934,שדרה,noun
399,4425,הכיר,participle:noun
398,17806,מספר,verb
398,24723,אף,quantifier
398,6076,רצה,participle:verb
398,8920,חזר,verb
397,14068,כיוון,noun
397,20074,סיכון,noun
397,24126,שלוש,numeral
396,15053,חסימה,noun
396,16400,רופא,noun
396,9287,צעיר,noun
396,9784,נקודה,noun
395,21132,פעל,participle:noun
395,7602,סיפור,noun
394,18565,לבנון,properName
393,16928,אדום,adjective
393,18818,אינטרנט,noun
392,13152,הסביר,verb
392,17699,הרבה,quantifier
390,16374,שמע,verb
390,19346,ביטוי,noun
390,19939,שב,verb
390,2594,יעד,noun
389,12988,מציאה,noun
389,17004,אפגניסטן,properName
389,18081,דובר,participle:noun
389,19125,חוסר,noun
389,19993,מוזיאון,noun
389,21184,כבוד,noun
389,8938,מופז,properName
389,9669,הציע,verb
388,7222,חיזר,verb
387,20106,ציון,properName
387,7439,עזב,verb
387,8778,לוי,properName
386,16717,לשם,preposition
386,6631,הפסקה,noun
386,9104,קרב,participle:noun
385,16932,הוצר,participle:noun
385,1819,גידל,participle:noun
385,2453,תחום,noun
384,24048,נורה,verb
382,18977,פורסם,verb
382,24930,מוכן,modal
382,7123,אחדים,adjective
381,12678,תמך,verb
380,11190,ביטוח,noun
380,12712,הזכיר,verb
380,24926,חייב,modal
379,18364,ממשל,noun
379,19089,הפעיל,verb
379,21127,התקפה,noun
378,19633,רשמי,adjective
378,6738,קובע,verb
377,758,שידור,noun
376,1355,ביטל,verb
376,34,ירד,verb
375,11984,נוכחי,adjective
375,2974,שאל,verb
374,11224,חשיבות,noun
373,15210,רשימה,noun
372,17230,אחראי,noun
372,19500,ארצי,adjective
372,21091,סמכות,noun
371,12119,כך,adverb
371,16251,עסק,participle:verb
371,20830,יעקב,properName
370,12956,חקר,participle:noun
370,13375,תרופה,noun
370,21667,למעשה,adverb
369,12702,לפחות,adverb
369,2875,מלוא,noun
368,10713,חקלאות,noun
368,15757,צפה,participle:noun
368,7176,נותר,verb
367,14808,למד,verb
367,1865,נכתב,verb
367,4079,אמיתי,adjective
366,12328,אפשר,participle:verb
366,25290,יחיד,adjective
365,1077,טלפון,noun
365,13945,הוביל,verb
365,69,מקצועי,adjective
364,1019,הצלחה,noun
364,6787,חופש,noun
363,5835,במיוחד,adverb
363,6652,בכיר,noun
362,15635,מפגש,noun
362,18919,נמנע,verb
362,25379,פולארד,properName
362,9424,שאול,properName
361,20588,הפסיק,verb
361,21594,תכנון,noun
361,7386,כבד,adjective
361,9227,חשבון,noun
360,12664,העניק,verb
359,19862,בדק,verb
359,25381,פארק,noun
358,15654,חולי,noun
358,24819,באשר,conjunction
358,25541,יהיה,existential
357,15149,שיטה,noun
357,1946,חמישה,numeral
357,25024,בר,properName
357,9646,יזם,participle:noun
356,19771,הלך,verb
355,4875,פרט,noun
354,11739,סיני,properName
354,17318,הצביע,verb
354,24122,"ש""ח",noun
353,15050,רחב,adjective
353,19912,מסע,noun
352,20279,זר,adjective
352,21274,יחסים,noun
351,14053,פצצה,noun
351,3270,עוצמה,noun
350,8977,טיסה,noun
349,6370,צילום,noun
348,12068,השקעה,noun
347,10740,אור,noun
347,13680,מצרי,adjective
347,25885,מטעם,preposition
347,3998,חיבל,participle:verb
347,6603,כונה,participle:noun
346,1427,כלכלה,noun
346,4958,טבע,noun
346,7355,סוים,participle:adjective
345,2499,נמוך,adjective
345,3222,המלצה,noun
345,8281,נסע,verb
344,12520,שיא,noun
344,9504,מינוי,noun
343,12912,קליטה,noun
342,10655,הוצב,participle:noun
342,16995,שחרר,verb
342,19375,עזרה,noun
342,4261,תא,noun
342,5966,דווקא,adverb
341,24698,אילת,properName
341,24905,אסור,modal
341,8556,חלל,noun
341,9505,במקביל,adverb
340,10704,אסון,noun
340,18291,הדגיש,participle:verb
340,3991,תעודה,noun
339,12522,חמישי,numeral
339,13558,אישום,noun
339,15845,גבעה,noun
339,1633,רוסיה,properName
339,18975,רכבת,noun
338,10826,ספק,noun
338,13662,סמך,verb
338,7091,דמה,participle:adjective
338,7203,כנגד,preposition
337,14932,יודע,verb
337,3793,השתתף,participle:noun
336,16656,הסתכם,verb
335,15043,נפל,verb
335,9803,כתב,participle:verb
334,11131,דמוקרטיה,noun
334,6750,מאסר,noun
333,12010,מרגמה,noun
333,14620,בחר,verb
332,4678,הכנה,noun
331,20600,כנסייה,noun
331,831,הגיב,verb
329,12712,הזכיר,participle:noun
329,18570,נסיעה,noun
329,7855,סך,participle:noun
329,9304,שישי,numeral
328,12503,חברתי,adjective
328,14261,עצם,noun
328,5123,ראוי,adjective
327,11877,פשע,noun
327,14150,נהג,verb
327,18505,קסאם,noun
